GEOID,NAME,ACS_TOTAL_POP,ACS_UNDER5,ACS_OVER65,ACS_SENSITIVE_PCT,ACS_POVERTY_PCT,ACS_NO_VEHICLE_PCT,NRI_ID,NRI_HEATWAVE_RISK_SCORE,NRI_HEATWAVE_RISK_RATING,NRI_HEATWAVE_ANNUALIZED_FREQ,NRI_SOVI_SCORE,NRI_SOVI_RATING,NRI_COMPOSITE_RISK_SCORE,NRI_COMPOSITE_RISK_RATING,NEAREST_COOLING_MI,COOLING_WITHIN_3MI,COOLING_WITHIN_5MI,ACCESS_POINT_METHOD,HEAT_CONCERN_SCORE,SOVI_CONCERN_SCORE,TRANSPORT_BARRIER_SCORE,COOLING_ACCESS_SCORE,FINAL_CONCERN_SCORE,CONCERN_CLASS
53063014001,"Census Tract 140.01, Spokane, WA",5402.0,245.0,774.0,18.86,36.26,8.19,T53063014001,81.07512274178941,Relatively Moderate,4.0,90.18006279,Very High,35.991105086035695,Relatively Low,7.23,0,0,Census tract internal point,3,3,3,3,12,High
53063013600,"Census Tract 136, Spokane, WA",5322.0,425.0,639.0,19.99,17.39,8.5,T53063013600,73.678440345107,Relatively Moderate,4.0,79.12041699,Relatively High,39.77857847858918,Relatively Low,3.71,0,4,Census tract internal point,3,3,3,3,12,High
53063011203,"Census Tract 112.03, Spokane, WA",6432.0,450.0,1080.0,23.79,22.52,14.49,T53063011203,74.23971590638257,Relatively Moderate,4.0,67.15631108,Relatively High,28.805013496961696,Relatively Low,3.08,0,6,Census tract internal point,3,3,3,3,12,High
53063005000,"Census Tract 50, Spokane, WA",5690.0,656.0,824.0,26.01,13.18,9.49,T53063005000,70.11416178082844,Relatively Moderate,4.0,58.48782799,Relatively Moderate,26.440964170620624,Relatively Low,2.66,2,6,Census tract internal point,3,3,3,3,12,High
53063014002,"Census Tract 140.02, Spokane, WA",6476.0,368.0,637.0,15.52,26.89,7.42,T53063014002,71.75389675389675,Relatively Moderate,4.0,32.35325475,Relatively Low,32.417680425243475,Relatively Low,5.9,0,0,Census tract internal point,3,2,3,3,11,High
53063010403,"Census Tract 104.03, Spokane, WA",3931.0,183.0,671.0,21.72,5.14,5.82,T53063010403,64.36793936793936,Relatively Moderate,4.0,66.5793994,Relatively High,63.48923215963279,Relatively Moderate,5.48,0,0,Census tract internal point,3,3,2,3,11,High
53063010506,"Census Tract 105.06, Spokane, WA",6239.0,234.0,1759.0,31.94,10.41,7.0,T53063010506,80.0359883693217,Relatively Moderate,4.0,80.98323758,Very High,42.863258535193175,Relatively Low,3.32,0,3,Census tract internal point,3,3,2,3,11,High
53063012300,"Census Tract 123, Spokane, WA",6319.0,661.0,874.0,24.29,25.05,15.76,T53063012300,81.91763191763192,Relatively Moderate,4.0,89.01617011,Very High,48.232314223538225,Relatively Low,2.0,6,14,Census tract internal point,3,3,3,2,11,High
53063011103,"Census Tract 111.03, Spokane, WA",2822.0,110.0,1146.0,44.51,19.05,23.94,T53063011103,62.085895419228756,Relatively Moderate,4.0,83.21269916,Very High,9.96515762310775,Very Low,1.11,5,15,Census tract internal point,3,3,3,2,11,High
53063000201,"Census Tract 2.01, Spokane, WA",3495.0,200.0,461.0,18.91,14.64,8.32,T53063000201,62.589970923304264,Relatively Moderate,4.0,92.07190665,Very High,7.064797307742618,Very Low,1.08,3,16,Census tract internal point,3,3,3,2,11,High
